ID,RA,DEC,TYPE,FLUX_m400,FLUX_m425,FLUX_m450,FLUX_m475,FLUX_m500,FLUX_m525,FLUX_m550,FLUX_m575,FLUX_m600,FLUX_m625,FLUX_m650,FLUX_m675,FLUX_m700,FLUX_m725,FLUX_m800,FLUX_m825,FLUX_m850,FLUX_m875,ELL,Re,THETA
00119,311.67065023,-1.61868629,STAR,,,,,,,,,,,,,,,,,,,0.0,2.9645,-18.37041901478439
00120,311.01396163,-1.6231013602,STAR,,,,,,,,,,,,,,,,,,,0.0,2.8325,7.533377920146005
00121,311.48531327,-1.6426776801,STAR,,,,,,,,,,,,,,,,,,,0.0,2.8125,-15.646504536774124
00122,311.67562785,-1.6254128955,STAR,,,,,,,,,,,,,,,,,,,0.0,3.0535,-32.45596006733016
00123,311.33978495,-1.6043792349,STAR,,,,,,,,,,,,,,,,,,,0.0,2.8355,-51.04888497813839
00124,310.59267511,-1.59666069,STAR,,,,,,,,,,,,,,,,,,,0.0,3.1544999999999996,26.06877392627459
00125,311.10565221,-1.6310515606,STAR,,,,,,,,,,,,,,,,,,,0.0,2.803,-41.281896928506804
00126,310.98560964,-1.6323976804,STAR,,,,,,,,,,,,,,,,,,,0.0,2.7984999999999998,4.434269109897092
00127,311.60135853,-1.5950778896,STAR,,,,,,,,,,,,,,,,,,,0.0,3.019,-2.5626373968138187
00128,311.20499967,-1.5884154256,STAR,,,,,,,,,,,,,,,,,,,0.0,2.7750000000000004,-17.663069293830404
00129,311.61045673,-1.7181685479,STAR,,,,,,,,,,,,,,,,,,,0.0,3.0605,-14.923130507391482
00130,310.75923503,-1.6659845393,STAR,,,,,,,,,,,,,,,,,,,0.0,2.9930000000000003,-53.77205851016437
00131,310.95997513,-1.7161693003,STAR,,,,,,,,,,,,,,,,,,,0.0,2.755,-27.035230193216382
00132,311.62471014,-1.5715320517,STAR,,,,,,,,,,,,,,,,,,,0.0,2.943,-29.309817414743954
00133,311.18336509,-1.7100733047,STAR,,,,,,,,,,,,,,,,,,,0.0,2.738,-35.811198469845074
00134,311.4268614,-1.6113672818,STAR,,,,,,,,,,,,,,,,,,,0.0,2.9325,-56.654334644809126
00135,311.6427854,-1.5466477332,STAR,,,,,,,,,,,,,,,,,,,0.0,2.9865000000000004,-17.526288060457347
00136,311.4811886,-1.5624023592,STAR,,,,,,,,,,,,,,,,,,,0.0,2.9185,-35.96597976037221
00137,311.43203039,-1.7637902441,STAR,,,,,,,,,,,,,,,,,,,0.0,2.832,-9.411969742275497
00138,311.43739702,-1.8099768487,STAR,,,,,,,,,,,,,,,,,,,0.0,2.931,-31.69220301573878
00139,310.75391697,-1.568096938,STAR,,,,,,,,,,,,,,,,,,,0.0,2.993,-58.740925364764
00140,311.05531032,-1.730104471,STAR,,,,,,,,,,,,,,,,,,,0.0,2.817,-30.74237036190971
