RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,Field,nobs,mobs,B-V,e_B-V,Vmag,e_Vmag,Bmag,e_Bmag,g'mag,e_g'mag,r'mag,e_r'mag,i'mag,e_i'mag
10.470662,40.909814,0.628,0.515,20151766,12,69,0.644,0.085,14.108,0.057,14.752,0.063,14.389,0.061,13.941,0.057,13.852,0.054
10.473130,40.901831,0.565,0.549,20151766,12,64,0.476,0.094,14.467,0.058,14.943,0.074,14.669,0.050,14.364,0.063,14.293,0.049
10.487550,40.908209,0.428,0.377,20151872,11,60,1.404,0.083,12.751,0.061,14.156,0.056,13.442,0.059,12.253,0.073,11.774,0.054
10.493704,40.937384,0.739,0.638,20151872,11,60,0.755,0.070,14.905,0.053,15.660,0.046,15.249,0.039,14.672,0.071,14.495,0.055
10.550698,40.930104,0.604,0.883,20151872,11,51,0.699,0.081,15.317,0.056,16.016,0.059,15.633,0.073,15.124,0.072,14.965,0.064
10.529313,40.983672,0.962,0.942,20151767,9,41,0.893,0.176,14.949,0.109,15.842,0.138,15.357,0.071,14.650,0.093,14.365,0.151
10.563169,40.987728,0.632,0.377,20151872,11,60,0.592,0.087,13.091,0.060,13.683,0.063,13.344,0.054,12.938,0.066,12.832,0.055
11.468880,40.628367,0.615,0.510,20151767,9,45,0.495,0.069,15.310,0.063,15.805,0.029,15.518,0.063,15.176,0.061,15.019,0.073
11.524475,40.671551,0.128,0.136,20151767,10,50,0.515,0.058,13.632,0.047,14.147,0.035,13.846,0.043,13.515,0.044,13.415,0.034
11.480623,40.664994,0.319,0.282,20151767,10,49,0.589,0.065,14.736,0.046,15.325,0.046,14.986,0.050,14.600,0.040,14.490,0.050
11.512514,40.672951,0.461,0.539,20151767,9,44,0.672,0.085,15.279,0.067,15.951,0.053,15.577,0.060,15.097,0.059,14.894,0.073
11.388291,40.625106,0.862,0.926,20121873,6,23,0.915,0.206,16.053,0.082,16.968,0.188,16.507,0.031,15.680,0.090,15.402,0.100
11.388062,40.625308,0.840,0.695,20151767,2,9,0.877,0.323,16.079,0.082,16.956,0.312,16.474,0.125,15.621,0.018,15.094,0.000
11.396656,40.618314,0.980,0.868,20151767,9,37,0.645,0.090,15.874,0.081,16.518,0.041,16.148,0.036,15.732,0.064,15.576,0.098
11.412760,40.630245,0.903,0.894,20151767,7,24,0.652,0.112,16.194,0.077,16.846,0.081,16.396,0.043,16.040,0.082,15.889,0.181
11.369780,40.651865,0.894,0.582,20151767,9,35,0.594,0.099,15.828,0.093,16.422,0.036,16.067,0.044,15.713,0.054,15.557,0.141
11.362649,40.651275,1.098,0.673,20151767,6,19,0.639,0.055,16.171,0.047,16.810,0.028,16.466,0.093,16.040,0.050,15.954,0.000
11.316736,40.647736,0.094,0.077,20151767,10,50,0.924,0.058,12.572,0.047,13.496,0.033,13.000,0.047,12.303,0.055,12.019,0.037
11.336982,40.682139,0.442,0.425,20151767,10,50,0.860,0.062,14.709,0.033,15.569,0.052,15.111,0.058,14.432,0.045,14.226,0.060
11.351065,40.701183,0.227,0.294,20151767,10,50,0.923,0.067,14.123,0.050,15.046,0.044,14.559,0.054,13.819,0.054,13.560,0.039
11.431573,40.631422,0.875,0.770,20151767,9,43,0.598,0.086,15.665,0.071,16.264,0.049,15.939,0.035,15.484,0.050,15.371,0.078
11.393733,40.665106,0.627,0.671,20151767,9,38,0.615,0.088,15.598,0.041,16.213,0.077,15.860,0.058,15.411,0.060,15.332,0.074
11.413014,40.660136,1.085,0.866,20151767,9,31,0.691,0.186,16.252,0.095,16.942,0.159,16.584,0.057,16.042,0.063,15.868,0.272
11.413191,40.700992,0.848,0.751,20151767,6,21,0.586,0.074,16.143,0.026,16.729,0.070,16.358,0.055,15.831,0.070,15.680,0.076
11.417834,40.684131,0.963,1.097,20151767,3,7,0.612,0.131,16.794,0.000,17.406,0.131,16.976,0.120,16.467,0.220,16.456,0.000
11.479361,40.707430,0.112,0.120,20151767,10,50,0.531,0.061,13.144,0.050,13.675,0.035,13.365,0.046,13.024,0.050,12.924,0.037
11.495173,40.708771,0.959,0.646,20151767,7,26,0.990,0.102,16.170,0.069,17.160,0.074,16.577,0.128,15.866,0.063,15.538,0.115
11.433280,40.724972,0.364,0.305,20151767,10,50,0.699,0.067,14.502,0.046,15.201,0.048,14.800,0.043,14.314,0.062,14.155,0.051
11.474267,40.724960,0.164,0.214,20151767,10,50,0.534,0.056,13.848,0.040,14.383,0.038,14.069,0.050,13.721,0.050,13.620,0.042
11.482818,40.733496,0.754,1.285,20151767,6,18,0.691,0.110,16.509,0.067,17.201,0.087,16.901,0.075,16.318,0.051,16.435,0.000
11.389181,40.680856,0.084,0.092,20151767,10,50,0.615,0.055,12.539,0.046,13.153,0.030,12.813,0.046,12.374,0.053,12.220,0.040
11.384518,40.722085,0.743,0.624,20151767,9,41,0.576,0.109,15.691,0.079,16.268,0.075,15.911,0.064,15.522,0.038,15.384,0.072
11.445200,40.747689,1.005,0.941,20121873,3,11,0.634,0.216,16.942,0.215,17.576,0.014,17.119,0.079,16.591,0.063,16.436,0.000
11.421585,40.792974,0.763,0.935,20151767,9,40,0.933,0.090,15.782,0.054,16.715,0.072,16.189,0.074,15.498,0.073,15.194,0.050
11.227440,40.630137,0.196,0.190,20151767,10,50,1.055,0.062,13.743,0.040,14.798,0.047,14.236,0.047,13.432,0.061,13.132,0.039
